PlacetteID;rcp;Annee;FFP;PTot;TMoy;Tmax_yr;Aridity;DD;CMI
400202303;RCP45;1991;76;1087.6;1.28575;7.2126;27.9003;1282.75;9.1389519
400202303;RCP45;1992;100;1133.2;0.362842;5.97678;16.9418;1154.8;26.67133
400202303;RCP45;1993;112;1011.5;0.683288;6.54712;0;1264.1;17.95339
400202303;RCP45;1994;97;1042.1;0.967945;6.55205;0;1232;25.11889
400202303;RCP45;1995;121;938.4;1.76411;7.44082;67.679;1400.5;-4.70687
400202303;RCP45;1996;116;1203.2;1.69317;7.27596;60.071;1272.85;27.6561
400202303;RCP45;1997;135;1242.8;1.00384;6.32767;0;1202.55;34.668749
400202303;RCP45;1998;127;1127.5;3.14384;8.12986;21.2872;1350.6;18.622333
400202303;RCP45;1999;142;1010.9;3.59205;8.85425;30.6572;1610.7;3.130464
400202303;RCP45;2000;112;1055.8;1.63197;6.54016;0;1214.65;13.8581801
400202303;RCP45;2001;147;979.8;3.09781;8.2526;0;1504.65;9.222376
400202303;RCP45;2002;120;952.8;1.49205;6.43671;42.3477;1260.3;11.47803
400202303;RCP45;2003;133;985.9;1.16877;6.13068;22.2036;1347.55;9.589003
400202303;RCP45;2004;135;896.4;0.731967;5.61667;20.8126;1162.25;15.7401371
400202303;RCP45;2005;150;1011.1;1.90877;7.00027;7.44186;1373.8;19.45226
400202303;RCP45;2006;145;1011.8;2.9126;7.78274;60.3173;1314.35;6.70714
400202303;RCP45;2007;130;1020.4;1.34027;6.60795;20.2423;1259.3;8.581068
400202303;RCP45;2008;129;1158.9;1.64699;6.68169;10.5851;1276;22.0218744
400202303;RCP45;2009;125;866.4;1.69425;6.50603;22.3122;1259.45;10.722483
400202303;RCP45;2010;142;880.3;3.94219;8.58849;54.817;1446.3;12.23053
400202303;RCP45;2011;142;1157.6;2.38712;7.27973;0;1385.4;29.41695
400202303;RCP45;2012;154;866.3;3.35738;8.30355;66.9126;1545.65;2.921725
400202303;RCP45;2013;143;1054.28;2.68904;7.52767;39.8606;1463.85;19.74539
400202303;RCP45;2014;122;994.46;2.404;7.388766;21.5684;1548.95;4.055659
400202303;RCP45;2015;124;903.8;2.35288;7.27096;40.8554;1550.95;4.2989422
400202303;RCP45;2016;132;1167.4;2.88962;7.77678;13.8946;1536.85;14.979161
400202303;RCP45;2017;143;1121.7;2.58137;7.43863;31.1419;1478.1;13.229272
400202303;RCP45;2018;108;1076.8;2.20301;7.27397;51.9919;1489.25;-0.796005
400202303;RCP45;2019;112;965.9;1.66055;6.77151;53.5802;1300.85;8.294483
400202303;RCP45;2020;107;1067.2;3.06038;8.11612;6.15676;1487.6;12.48774
400202303;RCP45;2021;126;786.9;3.94466;8.96192;85.2619;1637.95;-2.51601
400202303;RCP45;2022;130;1128.3;2.83589;8.07863;43.4373;1593.7;9.095041
400202303;RCP45;2023;135;1110;3.92685;8.86356;0;1658.75;29.951897
400202303;RCP45;2024;131;751.9;4.73579;9.75601;125.466;1744.25;-13.632733
400202303;RCP45;2025;136.4;995.58;2.512274;7.286742;44.13236;1422.82;18.1311872
400202303;RCP45;2026;105.2;1152.46;3.108492;8.62619;22.3705288;1588.18;4.11744034
400202303;RCP45;2027;106.8;1043.98;2.878632;8.480656;31.09396;1552.05;12.8697274
400202303;RCP45;2028;116.6;986.04;3.007508;8.561864;36.64636;1589.84;5.974874
400202303;RCP45;2029;108;1173.16;3.41052;8.86482;27.51102;1574.56;9.5777612
400202303;RCP45;2030;94.8;1126.16;3.182354;8.647944;34.7969;1559.92;13.27521966
400202303;RCP45;2031;132.2;1135.36;3.56904;9.025866;49.80378;1675.33;9.6261796
400202303;RCP45;2032;105.8;1240.66;3.566904;8.913588;21.242038;1660.08;13.8190274
400202303;RCP45;2033;114.8;1151.5;3.431288;8.915178;12.6748848;1656.57;9.42370042
400202303;RCP45;2034;111.6;1137.14;3.397534;8.789972;16.38519;1621.93;15.6378966
400202303;RCP45;2035;122.4;1268.62;3.603948;9.134356;6.0288;1676.31;8.3273708
400202303;RCP45;2036;108.2;1174.34;3.631672;9.006742;34.09842;1622.76;6.99477408
400202303;RCP45;2037;118.6;1213.56;3.823726;9.193308;25.08456;1699.62;11.6564436
400202303;RCP45;2038;119;1139.36;3.42378;8.900054;17.007862;1648.82;19.2660732
400202303;RCP45;2039;123.2;1083.8;3.836548;9.257364;31.22774;1688.64;15.400092
400202303;RCP45;2040;111.4;1173.9;3.542468;8.972822;21.84458;1634.24;9.976646
400202303;RCP45;2041;127.4;1222.52;3.608656;9.152;28.201608;1702.89;16.85646318
400202303;RCP45;2042;110.2;1293.88;4.092382;9.591502;10.61477;1736.45;10.9441228
400202303;RCP45;2043;130.4;1211.32;4.023122;9.498134;18.528668;1797.67;15.4140346
400202303;RCP45;2044;129.8;1128.88;4.055946;9.438192;36.17234;1803.38;9.23641438
400202303;RCP45;2045;101.2;1164.1;4.02926;9.354746;10.257002;1675.3;15.966126
400307001;RCP45;1991;123;900;1.08164;6.66603;62.0175;1271.85;4.87283
400307001;RCP45;1992;96;938.7;0.209016;5.58197;30.0703;1122.4;16.855601
400307001;RCP45;1993;115;956.4;0.324658;5.98055;0;1191.75;11.489713
400307001;RCP45;1994;124;968.1;0.818082;6.06658;0;1193;25.40021
400307001;RCP45;1995;123;917.3;1.58192;6.79699;87.6998;1353.15;-6.757578
400307001;RCP45;1996;118;1196.3;1.30055;6.33607;49.8396;1196.4;29.534176
400307001;RCP45;1997;125;1054;0.701096;5.96247;9.26302;1133.65;21.745805
400307001;RCP45;1998;113;1132.3;2.62795;7.9137;14.2921;1247.15;16.549463
400307001;RCP45;1999;141;1109.88;3.17808;8.62959;21.9821;1510.75;5.936342
400307001;RCP45;2000;112;995.7;1.30137;5.78033;15.1296;1077.95;14.198221
400307001;RCP45;2001;136;869.1;2.874466;8.109862;15.605;1468.1;4.272406
400307001;RCP45;2002;120;945.68;1.32055;5.97945;60.7944;1146.15;6.22991
400307001;RCP45;2003;133;1116.2;0.968493;5.65315;34.1875;1221.6;10.29454
400307001;RCP45;2004;135;1370;0.638251;5.1959;0;1067.75;45.03981
400307001;RCP45;2005;159;1171;1.56603;6.3063;0;1210.5;29.969331
400307001;RCP45;2006;145;1027.6;2.5474;7.10658;48.2646;1179.15;6.413609
400307001;RCP45;2007;130;1115.7;1.15397;6.01781;3.20741;1140.2;20.279601
400307001;RCP45;2008;130;1167.9;1.48552;6.19481;12.1684;1165.5;22.73689
400307001;RCP45;2009;143;949.4;1.48712;5.98329;10.6644;1116.3;12.430333
400307001;RCP45;2010;157;1022.8;3.46219;7.91616;76.8199;1272.5;13.595846
400307001;RCP45;2011;146;1112.2;2.24219;6.75781;8.38499;1217.2;27.466758
400307001;RCP45;2012;154;931.1;3.01721;7.58033;52.2999;1367.75;7.77014
400307001;RCP45;2013;130;970.4;2.26274;7.11644;42.7838;1358.95;20.4332
400307001;RCP45;2014;122;840.72;1.795396;6.702138;29.33214;1448.01;3.044755
400307001;RCP45;2015;124;840.3;1.98;6.91808;30.7975;1459;5.877381
400307001;RCP45;2016;135;1123.8;2.60383;7.47568;31.4774;1474.8;13.70064
400307001;RCP45;2017;131;1050.72;1.886628;6.90208;25.4479;1417.25;12.393442
400307001;RCP45;2018;90;983.9;1.92164;7.08877;54.4937;1420.6;-2.99012
400307001;RCP45;2019;112;981;1.36274;6.38685;43.7534;1217.15;9.575627
400307001;RCP45;2020;107;1058.9;2.70601;7.72596;9.90347;1387.85;12.08519
400307001;RCP45;2021;126;813.3;3.6789;8.75397;77.9825;1557.6;0.081718
400307001;RCP45;2022;90;1136.6;2.46438;7.99397;26.5532;1477.4;9.48096
400307001;RCP45;2023;112;1126.2;3.49973;8.71233;0;1537.15;27.180061
400307001;RCP45;2024;130;861.8;4.11721;9.55656;74.2966;1581.85;-7.42451
400307001;RCP45;2025;116.8;961.52;2.130958;6.953696;17.282102;1326.29;7.09013
400307001;RCP45;2026;130.4;1028.78;3.022028;8.436166;46.03064;1592.65;8.7682136
400307001;RCP45;2027;133;1074.94;3.028054;8.3383;22.255744;1643.69;1.40366674
400307001;RCP45;2028;125.4;971.74;3.206356;8.77781;36.8470568;1581.4;0.93108974
400307001;RCP45;2029;122.8;895.18;3.25189;8.823836;56.88486;1649;8.085408
400307001;RCP45;2030;115.8;1098.18;2.799508;8.157206;47.32283;1539.61;6.22586128
400307001;RCP45;2031;126.2;997.62;3.690902;9.136984;41.91482;1716.22;6.25119414
400307001;RCP45;2032;121.2;1087.1;3.552714;8.991562;48.781068;1685.43;8.3917305
400307001;RCP45;2033;124.2;991.58;3.56652;9.104984;39.859386;1703.95;5.0738048
400307001;RCP45;2034;122;972.64;3.258902;8.645316;57.63084;1660.98;8.0461154
400307001;RCP45;2035;107.6;988.5;3.561918;9.069916;20.24258;1646.01;3.81690762
400307001;RCP45;2036;113.6;1077.8;3.723124;9.112714;32.192098;1686.56;5.7519684
400307001;RCP45;2037;130;1060.44;3.718738;9.101808;29.8846;1669.16;11.0150156
400307001;RCP45;2038;127.6;1073.46;3.495124;8.953644;44.76832;1718.7;3.64334104
400307001;RCP45;2039;125.6;1077.52;3.641918;8.977314;55.78578;1724.57;3.45305072
400307001;RCP45;2040;133.6;1135.14;3.579614;9.008438;34.2003204;1677.44;7.6687926
400307001;RCP45;2041;116.4;1101.18;4.041152;9.512168;39.881106;1783.12;2.0955952
400307001;RCP45;2042;133.8;1071.8;4.343726;9.56493;75.1533;1833.41;10.1903568
400307001;RCP45;2043;129.2;1060.1;3.726792;9.122902;45.42576;1739.17;1.4379376
400307001;RCP45;2044;120.4;951.02;3.51145;9.034028;68.52854;1724.68;4.6791338
400307001;RCP45;2045;134.6;1232.4;3.667672;9.192886;23.359258;1758.24;-1.857987
400327501;RCP45;1991;126;862.2;2.05562;7.47781;96.3124;1400.75;1.585073
400327501;RCP45;1992;120;777.3;1.61831;6.57842;43.944;1282.8;11.177087
400327501;RCP45;1993;116;901.7;1.72301;6.86932;15.1732;1348.8;10.429591
400327501;RCP45;1994;129;812.7;2.20301;7.1526;25.2461;1339.2;18.28797
400327501;RCP45;1995;123;865.4;2.57288;7.56192;103.075;1449.2;-4.848548
400327501;RCP45;1996;119;1164;2.38388;7.26038;43.6348;1316.95;26.11654
400327501;RCP45;1997;125;899.1;1.63918;6.8;38.0854;1219.35;10.5965561
400327501;RCP45;1998;112;1084.4;3.44795;8.60685;6.77043;1359;16.73798
400327501;RCP45;1999;125.6;993.04;3.156164;8.38756;31.341238;1412.23;4.65633616
400327501;RCP45;2000;128;971.8;2.35273;6.87186;60.5328;1205.6;7.90887
400327501;RCP45;2001;153;775.48;3.869534;9.001482;32.0854;1611.9;1.25934
400327501;RCP45;2002;140;735.8;2.50219;7.38137;97.8975;1316.05;-3.23064
400327501;RCP45;2003;145;1181;1.8989;6.74;28.5281;1325.1;9.811703
400327501;RCP45;2004;140;1555.3;1.73361;6.61803;0;1236.6;55.65031
400327501;RCP45;2005;150;1260.1;2.61534;7.38712;0;1333.25;24.224413
400327501;RCP45;2006;150;1026;3.42137;8.10164;58.2676;1280.4;5.61039
400327501;RCP45;2007;129;1249.78;2.27479;7.22959;0;1308.4;24.03225697
400327501;RCP45;2008;128;1008.1;2.53333;7.31776;15.9997;1312.5;7.91302
400327501;RCP45;2009;143;957.4;2.39644;7.00575;4.86615;1204.5;10.310828
400327501;RCP45;2010;160;948.1;4.30411;8.85069;104.832;1422.75;2.71401
400327501;RCP45;2011;150;1109;3.30384;7.85589;0;1361.05;26.00847
400327501;RCP45;2012;157;984.6;3.90738;8.65082;77.3625;1485.1;6.5137912
400327501;RCP45;2013;130;833.42;3.05441;7.83074;45.4666;1374.14;17.89969
400327501;RCP45;2014;128;790.88;3.24915;7.93737;26.63628;1532.98;4.879371
400327501;RCP45;2015;141;735.36;2.89041;7.98438;29.2935;1515.75;8.792076
400327501;RCP45;2016;147;960.76;3.53907;8.61011;37.85036;1555.2;7.3259308
400327501;RCP45;2017;135;878.8;2.83715;7.956874;80.1084;1489.85;1.95678
400327501;RCP45;2018;119;723.98;3.04986;8.25178;123.414;1498.65;-14.52458
400327501;RCP45;2019;124;884.7;2.34466;7.30082;42.6777;1268.05;4.0799
400327501;RCP45;2020;107;975.48;3.53443;8.47623;40.6626;1411.3;5.015993
400327501;RCP45;2021;126;632.3;4.68959;10.0258;113.7552;1653.2;-11.5539838
400327501;RCP45;2022;117;1124.5;3.55315;8.93534;23.0285;1581.8;6.7550636
400327501;RCP45;2023;125;942.5;4.34301;9.2063;6.66817;1592.45;9.0810268
400327501;RCP45;2024;150;844.9;4.75273;9.74208;85.1938;1660.4;-0.04803
400327501;RCP45;2025;119.2;829.58;2.780492;7.614904;73.0139;1376.87;3.8001706
400327501;RCP45;2026;142.6;1144.82;4.68411;9.686894;55.44664;1722.19;1.8078752
400327501;RCP45;2027;135.2;1069.6;4.592436;9.77135;53.14944;1782.11;3.9764258
400327501;RCP45;2028;144.4;1038.56;4.331178;9.405096;66.77354;1763.73;2.6522898
400327501;RCP45;2029;146;1025.12;3.936822;9.059396;55.7229;1687.38;3.43897746
400327501;RCP45;2030;137.4;1032.5;4.102684;8.991782;34.014082;1686.7;-0.73884
400327501;RCP45;2031;149;985.64;4.628548;9.549864;68.15314;1764.04;4.24381456
400327501;RCP45;2032;136.2;1124.12;4.404054;9.280984;44.43044;1708.19;3.9648568
400327501;RCP45;2033;142.6;1138.48;4.60356;9.514192;39.061962;1860.85;7.9229011
400327501;RCP45;2034;138.6;990.76;4.88345;9.706452;64.1023;1761.28;12.0777306
400327501;RCP45;2035;132.8;986.8;4.613314;9.548166;47.15294;1705.12;4.9533454
400327501;RCP45;2036;141.8;1092.42;4.615124;9.65951;40.07464;1762.39;9.88264888
400327501;RCP45;2037;129.2;1032.56;4.457262;9.487552;56.96912;1783.47;3.7135548
400327501;RCP45;2038;143.6;1085.64;4.282904;9.140494;68.71895;1725.25;10.1242254
400327501;RCP45;2039;136.2;1008.18;4.568494;9.484656;45.776604;1741.61;6.7326468
400327501;RCP45;2040;128.6;1056.42;4.428822;9.30789;44.68972;1713.55;7.60902318
400327501;RCP45;2041;150.4;1093.3;5.07129;9.946368;42.46448;1860.38;5.6729248
400327501;RCP45;2042;139.4;1050.88;5.397864;10.30592;61.32614;1890.67;7.7925682
400327501;RCP45;2043;149.4;1109.92;5.10707;10.037428;78.2411;1814.3;4.704861
400327501;RCP45;2044;137.2;1044.64;4.842522;9.821428;55.3051;1794.04;5.2073102
400327501;RCP45;2045;148;1125.48;4.89271;9.897822;38.23651;1853.47;5.1970438
400413001;RCP45;1991;95;877;-0.591781;5.42219;58.5376;1042.65;5.69384
400413001;RCP45;1992;78;898.6;-1.47896;4.53661;16.0678;926.4;18.55364
400413001;RCP45;1993;85;887.3;-1.20795;4.91069;5.45121;993.05;8.1264331
400413001;RCP45;1994;62;927.1;-1.10055;4.67973;6.25627;907.3;25.41628
400413001;RCP45;1995;89;1037.1;-0.443562;5.48932;29.7392;1034.55;4.13325
400413001;RCP45;1996;113;1235.1;-0.530055;5.28825;0;958.5;28.90134
400413001;RCP45;1997;58;1148.9;-1.12274;4.92219;0;894.6;30.35444
400413001;RCP45;1998;107;1262.8;1.10027;6.67808;0;983.05;29.669483
400413001;RCP45;1999;91;1259.8;1.00192;6.90219;8.93443;1150.3;20.674046
400413001;RCP45;2000;77;1171.68;-0.783607;4.90191;0;788.05;19.85315
400413001;RCP45;2001;104;1036.3;0.840822;6.56;8.24157;1117.05;11.0294258
400413001;RCP45;2002;77;1114.3;-0.766849;4.84274;37.5574;908.15;15.7470707
400413001;RCP45;2003;80;1279.14;-1.06356;4.54411;0;942.55;16.712132
400413001;RCP45;2004;73;1137.3;-1.25902;4.42732;0.645259;770.85;25.846597
400413001;RCP45;2005;37;1243.1;-0.266575;5.46548;0;984.35;29.72962
400413001;RCP45;2006;60;1230.8;0.558356;5.97781;20.9314;904.1;17.29089
400413001;RCP45;2007;74;1338.3;-0.976986;4.81425;1.14136;867.5;23.940348
400413001;RCP45;2008;88;1521.5;-0.695082;4.90628;0;875.75;38.4777
400413001;RCP45;2009;78;1125.6;-0.820548;4.69041;0;788.5;24.15566
400413001;RCP45;2010;75;1178.48;1.28849;6.6526;30.7221;984.1;19.713821
400413001;RCP45;2011;90;1543.6;-0.107671;5.45151;0;937.7;48.91041
400413001;RCP45;2012;88;1214.6;0.885792;6.39645;52.1901;1056.55;17.82209
400413001;RCP45;2013;80;887.6;0.424931;5.61397;23.2767;1031.65;13.49565
400413001;RCP45;2014;83;1044.14;-0.209041;5.27178;17.0033;1054.7;8.553522
400413001;RCP45;2015;92;884.6;0.31863;5.77233;11.2997;1176.75;10.765746
400413001;RCP45;2016;82;1179.2;0.674044;6.40956;22.5703;1118.35;16.83441
400413001;RCP45;2017;25;1179;0.308493;6.06521;0;1066.15;14.571543
400413001;RCP45;2018;14;1026.7;-0.139178;5.86027;14.5713;1081.4;-0.671325
400413001;RCP45;2019;67;938;-0.583836;5.29699;45.3584;890;6.73977
400413001;RCP45;2020;74;1142.2;0.734153;6.57022;5.65297;1077.5;17.21831
400413001;RCP45;2021;14;775.1;1.71288;7.54685;79.1767;1173.05;0.78645
400413001;RCP45;2022;16;1197.1;0.601096;6.69808;0;1130.15;18.081281
400413001;RCP45;2023;57;1145.8;1.64055;7.49397;0;1190.65;25.811275
400413001;RCP45;2024;73;903.8;2.17186;8.03661;53.2177;1236.55;-1.79075
400413001;RCP45;2025;50.8;1212.26;-0.05600002;5.406302;12.33764;951.4;21.3766696
400413001;RCP45;2026;91.8;1087.62;1.834246;7.437204;44.981858;1334.53;17.1532116
400413001;RCP45;2027;93.8;1098.72;1.7038892;7.220054;15.68854;1341.92;9.472222
400413001;RCP45;2028;99.4;926;1.49956;6.900822;38.310448;1308.72;10.8525796
400413001;RCP45;2029;88.8;1075.6;1.681098;7.184384;23.535714;1302.45;12.1815006
400413001;RCP45;2030;98.2;1010.8;1.476166;7.091946;40.05144;1307.99;9.61768286
400413001;RCP45;2031;100.2;1152.2;1.809536;7.38641;22.946424;1389.91;13.5271124
400413001;RCP45;2032;103.2;1123.02;2.325644;7.79074;13.419462;1463.72;21.145922
400413001;RCP45;2033;101.8;1102.14;1.8887124;7.24526;18.12226;1389.61;16.51836394
400413001;RCP45;2034;91.4;1109.92;2.435616;8.031068;30.72926;1396.38;14.0726562
400413001;RCP45;2035;99.6;1134.96;1.96104;7.59956;19.136466;1430.82;11.90057984
400413001;RCP45;2036;98.8;1108.44;2.027068;7.557866;19.255372;1382.78;21.6895332
400413001;RCP45;2037;97;1131.82;1.884112;7.388658;10.8185302;1360.48;10.40789742
400413001;RCP45;2038;103.6;1152.52;2.31622;7.76723;4.923264;1436.13;17.8982316
400413001;RCP45;2039;102;1095.18;1.884274;7.370356;18.127212;1335.65;6.1763278
400413001;RCP45;2040;100.6;1087.74;2.381972;7.897482;41.008334;1385.43;17.3910518
400413001;RCP45;2041;121.4;1176.02;2.39852;7.940438;14.2595;1455.11;19.4844296
400413001;RCP45;2042;108.6;1087.58;2.534412;7.981094;34.2877;1403.08;12.62709654
400413001;RCP45;2043;117.4;1123.84;2.465204;7.88937;30.76246;1437.39;15.5230926
400413001;RCP45;2044;119.8;1100.54;2.388438;7.981808;24.808162;1482.88;16.055742
400413001;RCP45;2045;95.8;1138.26;2.292602;7.683618;32.63764;1395.28;18.3534006
